facility_state,facility_county,nyt_id,facility_name,facility_type,latest_inmate_population,max_inmate_population_2020,total_inmate_cases,total_inmate_deaths,total_officer_cases,total_officer_deaths
Pennsylvania,York,FBAE83F0,York County ICE facility,Detention center,,,279,0,0,0.0
Texas,Burnet,C9D57B8A,Burnet County Jail,Jail,,,247,0,26,0.0
Texas,Burnet,AF29DE71,Burnet County ICE detention center,Detention center,,,0,0,0,0.0
Texas,Webb,85C642D2,Webb County jail,Jail,2.0,,439,0,96,0.0
Texas,Bottineau,97C1DFEE,Webb County ICE facility,Detention center,,,134,0,0,0.0
Utah,Washington,3C39E371,Purgatory Correctional Facility,Jail,,,239,0,44,0.0
Utah,Washington,08E6878A,Purgatory ICE facility,Detention center,,,6,0,0,0.0
Utah,Weber,0579FD33,Weber County jail,Jail,,,315,0,17,0.0
Utah,Weber,76112698,Weber County Correctional Facility,Detention center,,,0,0,0,0.0
Virginia,James City,0E95CFF1,Virginia Peninsula Regional ICE detention center,Detention center,,,0,0,0,0.0
West Virginia,Kanawha,4AE1B10B,South Central Regional ICE facility,Detention center,,,2,0,0,0.0
Wisconsin,Kenosha,B80C2E1E,Kenosha County jail,Jail,,,202,0,60,0.0
Wisconsin,Kenosha,20246B38,Kenosha County Detention Center,Detention center,,,0,0,0,0.0
Alabama,Baldwin,7AFEDAB1,Baldwin County jail,Jail,,,37,0,10,0.0
Alabama,DeKalb,39C32CC4,DeKalb County Jail,Jail,,,53,0,34,1.0
Alabama,Jefferson,3C0AA7FB,Jefferson County jails,Jail,843.0,,91,0,2,0.0
Alabama,Lauderdale,C032495A,Lauderdale County Jail,Jail,256.0,,13,0,19,0.0
Alabama,Lee,D113AA95,Lee County jail,Jail,330.0,,3,1,5,0.0
Alabama,Mobile,5AE4B040,Mobile County Metro Jail,Jail,1135.0,,232,0,60,0.0
Alabama,Montgomery,B3D0C18F,Montgomery City Jail,Jail,,,15,0,20,0.0
Alabama,Montgomery,6941F532,Montgomery County jail,Jail,515.0,,21,0,18,0.0
Alabama,Shelby,16EA198E,Shelby County Jail,Jail,500.0,,10,0,10,0.0
Alabama,Tuscaloosa,FF84BDF7,Tuscaloosa County Jail,Jail,,,214,0,25,0.0
Arizona,Cochise,1987CCDC,Cochise County jails,Jail,,,33,0,26,0.0
Arizona,Coconino,D7611DC0,Coconino County jails,Jail,300.0,,188,0,35,0.0
Arizona,Maricopa,76C2FE3D,Maricopa County jails,Jail,,,2661,0,495,0.0
Arizona,Mohave,19A9E74A,Mohave County jail,Jail,391.0,,70,0,17,0.0
Arizona,Pima,4A175F73,Pima County jails,Jail,1450.0,,654,2,139,0.0
Arizona,Pinal,ED481B90,Pinal County jail,Jail,,,85,0,0,0.0
Arizona,Yavapai,AE337192,Yavapai County jail,Jail,,,15,0,60,1.0
Arizona,Yuma,B515CF86,Yuma County jail,Jail,381.0,,165,0,95,0.0
Arkansas,Benton,AECDAE4C,Benton County jail,Jail,,,189,0,15,0.0
Arkansas,Craighead,0509615C,Craighead County jail,Jail,,,28,0,0,0.0
Arkansas,Crawford,2ACB660B,Crawford County jail,Jail,,,41,0,0,0.0
Arkansas,Faulkner,AA2A7D93,Faulkner County Detention Center,Jail,,,22,0,0,0.0
Arkansas,Greene,2D73E9A2,Greene County jail,Jail,,,35,0,0,0.0
Arkansas,Johnson,2FB5C3BE,Johnson County Detention Center,Jail,,,1,0,3,0.0
Arkansas,Lawrence,29FB876D,Lawrence County jail,Jail,,,1,0,0,0.0
Arkansas,Miller,2071BDE6,Miller County Jail,Jail,,,0,0,0,0.0
Arkansas,Poinsett,8C8A2A07,Poinsett County jail,Jail,,,0,0,1,0.0
Arkansas,Pulaski,01CAB56F,Pulaski County Regional Detention Facility,Jail,928.0,,12,0,11,0.0
Arkansas,Saline,CA998142,Saline County jail,Jail,120.0,,34,0,3,0.0
Arkansas,Sebastian,314D6A84,Sebastian County jail,Jail,,,62,0,7,0.0
Arkansas,Washington,A51D071A,Washington County jail,Jail,,,301,0,55,0.0
California,Alameda,70D8F2DC,Santa Rita Jail,Jail,2213.0,,562,0,109,0.0
California,Butte,44F8AF9D,Butte County Jail,Jail,549.0,,326,0,35,0.0
California,Contra Costa,970EEF54,Contra Costa County Jail,Jail,,,239,0,72,0.0
California,Fresno,046ADCE7,Fresno County jail,Jail,2042.0,,3814,0,171,1.0
